Ranking	Baseline Rate	CM Rate	Number of States	Cmu	Lopt
888	0.811	0.811	2.0	0.650462	1.0
889	0.906	0.906	2.0	0.549516	1.0
890	0.942	0.942	3.0	0.509605	2.0
891	0.935	0.935	2.0	0.572644	1.0
892	0.852	0.852	1.0	-0.0	1.0
893	0.825	0.825	2.0	0.75347	1.0
894	0.872	0.872	2.0	0.468395	1.0
895	0.865	0.865	2.0	0.578552	1.0
896	0.756	0.756	2.0	0.541771	1.0
897	0.86	0.86	2.0	0.462066	1.0
898	0.892	0.892	1.0	-0.0	1.0
899	0.943	0.943	2.0	0.35997	1.0
900	0.896	0.896	2.0	0.408427	1.0
901	0.95	0.95	2.0	0.460128	1.0
902	0.874	0.921	41.0	2.96981	8.0
903	0.923	0.923	2.0	0.532011	1.0
904	0.904	0.977	2.0	0.445376	1.0
905	0.823	0.823	2.0	0.572108	1.0
906	0.75	0.752	86.0	3.30895	9.0
907	0.78	0.775	33.0	2.1338	8.0
908	0.852	0.852	2.0	0.626618	1.0
909	0.913	0.913	2.0	0.427429	1.0
910	0.977	0.977	2.0	0.825448	1.0
911	0.931	0.931	2.0	0.290317	1.0
912	0.891	0.891	1.0	-0.0	1.0
913	0.934	0.934	2.0	0.438429	1.0
914	0.812	0.941	78.0	4.13372	10.0
915	0.942	0.922	15.0	3.03887	7.0
916	0.885	0.885	2.0	0.344036	1.0
917	0.938	0.938	2.0	0.474838	1.0
918	0.823	0.823	1.0	-0.0	1.0
919	0.825	0.825	2.0	0.628295	1.0
920	0.948	0.948	2.0	0.486764	1.0
921	0.908	0.908	2.0	0.504923	1.0
922	0.919	0.919	2.0	0.478758	1.0
923	0.831	0.831	2.0	0.700504	1.0
924	0.909	0.911	4.0	0.874141	3.0
925	0.867	0.867	2.0	0.504441	1.0
926	0.921	0.921	2.0	0.420983	1.0
927	0.871	0.871	2.0	0.606703	1.0
928	0.854	0.854	2.0	0.622722	1.0
929	0.865	0.865	1.0	-0.0	1.0
930	0.915	0.921	2.0	0.539285	1.0
931	0.932	0.917	2.0	0.541189	1.0
932	0.904	0.904	2.0	0.663392	1.0
933	0.867	0.869	2.0	0.408186	1.0
934	0.935	0.953	3.0	0.359337	2.0
935	0.78	0.791	24.0	3.26895	8.0
936	0.877	0.877	2.0	0.646483	1.0
937	0.885	0.885	1.0	-0.0	1.0
938	0.858	0.858	1.0	-0.0	1.0
939	0.937	0.937	3.0	0.493896	2.0
940	0.852	0.852	2.0	0.540633	1.0
941	0.839	0.839	2.0	0.550028	1.0
942	0.838	0.8	2.0	0.640593	1.0
943	0.842	0.842	2.0	0.514202	1.0
944	0.863	0.863	1.0	-0.0	1.0
945	0.923	0.923	2.0	0.476159	1.0
946	0.87	0.87	1.0	-0.0	1.0
947	0.803	0.865	44.0	3.66163	8.0
948	0.743	0.743	1.0	-0.0	1.0
949	0.815	0.815	2.0	0.601082	1.0
950	0.759	0.762	186.0	4.51959	10.0
951	0.798	0.8	17.0	3.39123	6.0
952	0.917	0.917	2.0	0.585596	1.0
953	0.888	0.895	4.0	0.926578	2.0
954	0.835	0.835	2.0	0.588689	1.0
955	0.852	0.852	2.0	0.482726	1.0
956	0.83	0.852	97.0	4.87838	10.0
957	0.917	0.908	2.0	0.569005	1.0
958	0.916	0.953	4.0	1.17353	2.0
959	0.979	0.979	2.0	0.470974	1.0
960	0.929	0.929	1.0	-0.0	1.0
961	0.96	0.942	2.0	0.680533	1.0
962	0.906	0.921	2.0	0.456994	1.0
963	0.962	0.962	2.0	0.516426	1.0
964	0.899	0.897	197.0	4.22	10.0
965	0.91	0.91	2.0	0.455784	1.0
966	0.884	0.905	109.0	1.91917	9.0
967	0.854	0.851	136.0	3.58295	10.0
968	0.91	0.91	2.0	0.469362	1.0
969	0.848	0.848	2.0	0.595839	1.0
970	0.724	0.884	4.0	1.64402	2.0
971	0.837	0.916	9.0	2.83829	6.0
972	0.878	0.878	2.0	0.581485	1.0
973	0.887	0.887	2.0	0.590585	1.0
974	0.957	0.957	19.0	1.70497	8.0
975	0.847	0.847	2.0	0.605916	1.0
976	0.747	0.92	21.0	1.79541	7.0
977	0.896	0.896	2.0	0.642609	1.0
978	0.885	0.885	2.0	0.487076	1.0
979	0.911	0.911	2.0	0.539831	1.0
980	0.812	0.812	1.0	-0.0	1.0
981	0.879	0.879	2.0	0.619725	1.0
982	0.839	0.839	1.0	-0.0	1.0
983	0.72	0.884	34.0	3.1819	7.0
984	0.893	0.867	2.0	0.409613	1.0
985	0.979	0.979	2.0	0.700131	1.0
986	0.927	0.927	2.0	0.426053	1.0
987	0.884	0.884	1.0	-0.0	2.0
988	0.948	0.948	2.0	0.410888	1.0
989	0.976	0.976	2.0	0.249882	1.0
990	0.876	0.882	5.0	1.15088	4.0
991	0.889	0.889	2.0	0.513029	1.0
992	0.762	0.762	1.0	-0.0	1.0
993	0.882	0.882	2.0	0.427923	1.0
994	0.889	0.889	2.0	0.478528	1.0
995	0.919	0.921	51.0	2.28952	8.0
996	0.785	0.785	2.0	0.619658	1.0
997	0.903	0.924	2.0	0.497152	1.0
998	0.884	0.884	2.0	0.465685	1.0
999	0.892	0.892	2.0	0.54617	1.0
